2019-04-15 23:17:19 +0200 Notification        	Display is turned off                                                      	          
2019-04-16 11:18:36 +0200 Notification        	Display is turned on                                                       	          
2019-04-16 11:41:37 +0200 Notification        	Display is turned off                                                      	          
2019-04-16 11:48:38 +0200 Notification        	Display is turned on                                                       	          
2019-04-16 11:48:41 +0200 Notification        	Display is turned off                                                      	          
2019-04-16 12:48:15 +0200 Notification        	Display is turned on                                                       	          
2019-04-16 13:42:10 +0200 Notification        	Display is turned off                                                      	          
2019-04-16 13:42:56 +0200 Notification        	Display is turned on                                                       	          
2019-04-16 13:44:59 +0200 Notification        	Display is turned off                                                      	          
2019-04-16 13:48:21 +0200 Notification        	Display is turned on                                                       	          
2019-04-16 13:48:17 +0200 Notification        	Display is turned off                                                      	          
2019-04-16 13:48:38 +0200 Notification        	Display is turned on                                                       	          
2019-04-16 13:49:09 +0200 Notification        	Display is turned off                                                      	          
2019-04-16 13:51:05 +0200 Notification        	Display is turned on                                                       	          
2019-04-16 14:36:17 +0200 Notification        	Display is turned off                                                      	          
2019-04-16 14:36:38 +0200 Notification        	Display is turned on                                                       	          
2019-04-16 14:36:39 +0200 Notification        	Display is turned off                                                      	          
2019-04-16 15:01:00 +0200 Notification        	Display is turned on                                                       	          
2019-04-16 15:41:42 +0200 Notification        	Display is turned off                                                      	          
2019-04-16 16:28:58 +0200 Notification        	Display is turned on                                                       	          
2019-04-16 17:01:47 +0200 Notification        	Display is turned off                                                      	          
2019-04-16 17:01:48 +0200 Notification        	Display is turned on                                                       	          
2019-04-16 18:41:02 +0200 Notification        	Display is turned off                                                      	          
2019-04-17 11:19:25 +0200 Notification        	Display is turned on                                                       	          
2019-04-17 11:22:17 +0200 Notification        	Display is turned off                                                      	          
2019-04-17 11:23:02 +0200 Notification        	Display is turned on                                                       	          
2019-04-17 11:57:20 +0200 Notification        	Display is turned off                                                      	          
2019-04-17 11:58:41 +0200 Notification        	Display is turned on                                                       	          
2019-04-17 11:58:37 +0200 Notification        	Display is turned off                                                      	          
2019-04-17 14:36:20 +0200 Notification        	Display is turned on                                                       	          
2019-04-17 16:36:27 +0200 Notification        	Display is turned off                                                      	          
2019-04-17 17:51:45 +0200 Notification        	Display is turned on                                                       	          
2019-04-17 17:54:10 +0200 Notification        	Display is turned off                                                      	          
2019-04-17 17:54:11 +0200 Notification        	Display is turned on                                                       	          
2019-04-17 18:29:40 +0200 Notification        	Display is turned off                                                      	          
2019-04-17 18:29:42 +0200 Notification        	Display is turned on                                                       	          
2019-04-17 19:01:50 +0200 Notification        	Display is turned off                                                      	          
2019-04-17 22:09:53 +0200 Notification        	Display is turned on                                                       	          
2019-04-17 22:09:56 +0200 Notification        	Display is turned off                                                      	          
2019-04-17 22:18:18 +0200 Notification        	Display is turned on                                                       	          
2019-04-17 22:58:59 +0200 Notification        	Display is turned off                                                      	          
2019-04-17 23:12:00 +0200 Notification        	Display is turned on                                                       	          
2019-04-17 23:33:55 +0200 Notification        	Display is turned off                                                      	          
2019-04-18 10:04:29 +0200 Notification        	Display is turned on                                                       	          
2019-04-18 10:05:05 +0200 Notification        	Display is turned off                                                      	          
2019-04-18 10:14:48 +0200 Notification        	Display is turned on                                                       	          
2019-04-18 10:23:36 +0200 Notification        	Display is turned off                                                      	          
2019-04-18 11:54:33 +0200 Notification        	Display is turned on                                                       	          
2019-04-18 12:49:00 +0200 Notification        	Display is turned off                                                      	          
2019-04-18 12:49:10 +0200 Notification        	Display is turned on                                                       	          
2019-04-18 13:09:12 +0200 Notification        	Display is turned off                                                      	          
2019-04-18 13:09:13 +0200 Notification        	Display is turned on                                                       	          
2019-04-18 16:14:26 +0200 Notification        	Display is turned off                                                      	          
2019-04-18 17:00:48 +0200 Notification        	Display is turned on                                                       	          
2019-04-18 17:35:55 +0200 Notification        	Display is turned off                                                      	          
2019-04-18 21:56:40 +0200 Notification        	Display is turned on                                                       	          
2019-04-18 22:38:32 +0200 Notification        	Display is turned off                                                      	          
2019-04-19 12:27:31 +0200 Notification        	Display is turned on                                                       	          
2019-04-19 12:27:56 +0200 Notification        	Display is turned off                                                      	          
2019-04-19 12:27:59 +0200 Notification        	Display is turned on                                                       	          
2019-04-19 13:09:26 +0200 Notification        	Display is turned off                                                      	          
2019-04-19 13:17:26 +0200 Notification        	Display is turned on                                                       	          
2019-04-19 15:07:08 +0200 Notification        	Display is turned off                                                      	          
2019-04-19 16:16:06 +0200 Notification        	Display is turned on                                                       	          
2019-04-19 18:01:18 +0200 Notification        	Display is turned off                                                      	          
2019-04-19 20:29:58 +0200 Notification        	Display is turned on                                                       	          
2019-04-19 20:35:24 +0200 Notification        	Display is turned off                                                      	          
2019-04-19 20:35:58 +0200 Notification        	Display is turned on                                                       	          
2019-04-19 20:36:02 +0200 Notification        	Display is turned off                                                      	          
2019-04-19 22:28:52 +0200 Notification        	Display is turned on                                                       	          
2019-04-20 00:09:47 +0200 Notification        	Display is turned off                                                      	          
