2019-03-29 20:56:00 +0100 Notification        	Display is turned on                                                       	          
2019-03-29 22:21:10 +0100 Notification        	Display is turned off                                                      	          
2019-03-29 22:41:10 +0100 Notification        	Display is turned on                                                       	          
2019-03-29 22:53:01 +0100 Notification        	Display is turned off                                                      	          
2019-03-30 09:10:06 +0100 Notification        	Display is turned on                                                       	          
2019-03-30 09:19:43 +0100 Notification        	Display is turned off                                                      	          
2019-03-30 12:05:35 +0100 Notification        	Display is turned on                                                       	          
2019-03-30 12:11:00 +0100 Notification        	Display is turned off                                                      	          
2019-03-30 12:11:01 +0100 Notification        	Display is turned on                                                       	          
2019-03-30 12:34:02 +0100 Notification        	Display is turned off                                                      	          
2019-03-30 12:34:18 +0100 Notification        	Display is turned on                                                       	          
2019-03-30 13:13:37 +0100 Notification        	Display is turned off                                                      	          
2019-03-30 13:13:42 +0100 Notification        	Display is turned on                                                       	          
2019-03-30 13:14:17 +0100 Notification        	Display is turned off                                                      	          
2019-03-30 15:20:27 +0100 Notification        	Display is turned on                                                       	          
2019-03-30 15:28:39 +0100 Notification        	Display is turned off                                                      	          
2019-03-30 16:51:53 +0100 Notification        	Display is turned on                                                       	          
2019-03-30 17:57:38 +0100 Notification        	Display is turned off                                                      	          
2019-03-30 19:26:15 +0100 Notification        	Display is turned on                                                       	          
2019-03-30 19:26:33 +0100 Notification        	Display is turned off                                                      	          
2019-03-30 21:48:06 +0100 Notification        	Display is turned on                                                       	          
2019-03-30 21:55:49 +0100 Notification        	Display is turned off                                                      	          
2019-03-31 13:25:13 +0200 Notification        	Display is turned on                                                       	          
2019-03-31 13:56:12 +0200 Notification        	Display is turned off                                                      	          
2019-03-31 13:58:11 +0200 Notification        	Display is turned on                                                       	          
2019-03-31 14:36:07 +0200 Notification        	Display is turned off                                                      	          
2019-03-31 14:36:07 +0200 Notification        	Display is turned on                                                       	          
2019-03-31 15:07:46 +0200 Notification        	Display is turned off                                                      	          
2019-04-01 09:36:49 +0200 Notification        	Display is turned on                                                       	          
2019-04-01 09:50:47 +0200 Notification        	Display is turned off                                                      	          
2019-04-01 09:52:48 +0200 Notification        	Display is turned on                                                       	          
2019-04-01 09:58:55 +0200 Notification        	Display is turned off                                                      	          
2019-04-01 11:34:29 +0200 Notification        	Display is turned on                                                       	          
2019-04-01 13:42:26 +0200 Notification        	Display is turned off                                                      	          
2019-04-01 13:42:27 +0200 Notification        	Display is turned on                                                       	          
2019-04-01 14:30:58 +0200 Notification        	Display is turned off                                                      	          
2019-04-01 14:31:00 +0200 Notification        	Display is turned on                                                       	          
2019-04-01 15:07:08 +0200 Notification        	Display is turned off                                                      	          
2019-04-01 17:34:50 +0200 Notification        	Display is turned on                                                       	          
2019-04-01 17:35:07 +0200 Notification        	Display is turned off                                                      	          
2019-04-01 23:10:46 +0200 Notification        	Display is turned on                                                       	          
2019-04-01 23:27:23 +0200 Notification        	Display is turned off                                                      	          
2019-04-02 00:00:11 +0200 Notification        	Display is turned on                                                       	          
2019-04-02 00:02:46 +0200 Notification        	Display is turned off                                                      	          
2019-04-03 15:41:12 +0200 Notification        	Display is turned on                                                       	          
2019-04-03 16:08:37 +0200 Notification        	Display is turned off                                                      	          
2019-04-03 21:22:54 +0200 Notification        	Display is turned on                                                       	          
2019-04-03 22:36:13 +0200 Notification        	Display is turned off                                                      	          
2019-04-03 22:38:42 +0200 Notification        	Display is turned on                                                       	          
2019-04-03 23:26:35 +0200 Notification        	Display is turned off                                                      	          
2019-04-03 23:28:10 +0200 Notification        	Display is turned on                                                       	          
2019-04-03 23:28:13 +0200 Notification        	Display is turned off                                                      	          
2019-04-03 23:34:23 +0200 Notification        	Display is turned on                                                       	          
2019-04-03 23:48:00 +0200 Notification        	Display is turned off                                                      	          
2019-04-04 09:13:26 +0200 Notification        	Display is turned on                                                       	          
2019-04-04 09:22:53 +0200 Notification        	Display is turned off                                                      	          
2019-04-04 19:56:27 +0200 Notification        	Display is turned on                                                       	          
2019-04-04 20:40:13 +0200 Notification        	Display is turned off                                                      	          
2019-04-04 22:50:08 +0200 Notification        	Display is turned on                                                       	          
2019-04-04 23:58:13 +0200 Notification        	Display is turned off                                                      	          
2019-04-04 23:59:06 +0200 Notification        	Display is turned on                                                       	          
2019-04-04 23:59:09 +0200 Notification        	Display is turned off                                                      	          
2019-04-05 11:58:27 +0200 Notification        	Display is turned on                                                       	          
2019-04-05 12:15:13 +0200 Notification        	Display is turned off                                                      	          
2019-04-05 18:09:49 +0200 Notification        	Display is turned on                                                       	          
